year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,url,rg,arxiv,psyarxiv,data,code,journalShort,first
2017,Active Noise Control Systems for Open Windows: Current Updates And Future Perspectives,NA,Proceedings Paper,"B Lam, C Shi, WS Gan",proceedings of the,"24th International Congress on Sound and Vibration, 1-7",22,7.98E+18,YsMSGLbcyi4C,NA,NA,NA,https://www.researchgate.net/publication/318851167_Active_noise_control_systems_for_open_windows_Current_updates_and_future_perspectives,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,1
2019,Evaluation of Preferred Levels of Natural Sounds In-Situ Environment Through an Augmented Reality Device,NA,Proceedings Paper,"B Lam, J Hong, ZT Ong, K Ooi, WS Gan, S Jeong, I Lee, TT Tan",universitätsbibliothek der rwth aachen,,3,1.04E+19,isC4tDSrTZIC,NA,NA,NA,NA,NA,NA,NA,NA,Proc 23rd Int Congr Acoust,1
2018,Reliability of Wrist-Worn Sensors for Measuring Physiological Responses in Soundscape Assessments,NA,Proceedings Paper,"B Lam, JY Hong, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"258 (3), 4630-4639",3,3.54E+18,_kc_bZDykSQC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2018/00000258/00000003/art00065,https://www.researchgate.net/publication/329673107_Reliability_of_wrist-worn_sensors_for_measuring_physiological_responses_in_soundscape_assessments,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise18",1
2019,Influence of Parametrically-Decoded First-Order Ambisonics Reproduction in Cinematic Virtual-Reality-Based Soundscape Evaluation,NA,Proceedings Paper,"B Lam, JY Hong, ZT Ong, WS Gan, J Kang, J Feng, ST Tan",inter-noise and noise-con congress and conference proceedings,"259 (2), 7592-7603",3,1.82E+19,QIV2ME_5wuYC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2019/00000259/00000002/art00068,https://www.researchgate.net/publication/333984865_Influence_of_Parametrically-decoded_First-order_Ambisonics_Reproduction_in_Cinematic_Virtual-Reality-based_Soundscape_Evaluation,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise19",1
2022,Preliminary Assessment of A Cost-Effective Headphone Calibration Procedure for Soundscape Evaluations,NA,Proceedings Paper,"B Lam, K Ooi, KN Watcharasupat, ZT Ong, YT Lau, T Wong, WS Gan",arxiv preprint arxiv:,:2205.04728,1,9.06E+18,70eg2SAEIzsC,NA,NA,NA,https://www.researchgate.net/publication/369231680_Preliminary_assessment_of_a_cost-effective_headphone_calibration_procedure_for_soundscape_evaluations,https://doi.org/10.48550/arXiv.2205.04728,NA,NA,NA,"Proc 28th Int Congr Sound Vib, ICSV28",1
2022,Assessment of A Cost-Effective Headphone Calibration Procedure for Soundscape Evaluations,NA,Proceedings Paper,"B Lam, K Ooi, ZT Ong, KN Watcharasupat, T Wong, WS Gan",arxiv preprint arxiv:,:2207.12899,4,6.95E+18,ZHo1McVdvXMC,NA,NA,NA,https://www.researchgate.net/publication/362277034_Assessment_of_a_cost-effective_headphone_calibration_procedure_for_soundscape_evaluations,https://doi.org/10.48550/arXiv.2207.12899,NA, https://doi.org/10.21979/N9/AUE2LL,https://github.com/ntudsp/ica22-calibration,Proc 24th Int Congr Acoust,1
2016,Feasibility of The Full-Rank Fixed-Filter Approach in The Active Control of Noise Through Open Windows,NA,Proceedings Paper,"B Lam, M Tatsuya, C Shi, WS Gan, S Elliott",inter-noise and noise-con congress and conference proceedings,"253 (5), 3548-3555",13,7.07E+18,8k81kl-MbHgC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000005/art00080,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",1
2015,The Physical Limits of Active Noise Control of Open Windows,NA,Proceedings Paper,"B Lam, S Elliott, J Cheer, W Gan",,"12th Western Pacific Acoustics Conference, 184-189",14,8.95E+18,eQOLeE2rZwMC,NA,NA,NA,https://www.researchgate.net/publication/286448252_The_Physical_Limits_of_Active_Noise_Control_of_Open_Windows,NA,NA,NA,NA,Proc 12th West Pacific Acoust Conf,1
2015,Regularisation of The Equivalent Source Method for Robust Numerical Modelling of Acoustic Scattering,NA,Proceedings Paper,"B Lam, SJ Elliott, WS Gan","inter-noise and noise-con congress and conference proceedings, internoise",e15 …,5,1.15E+19,roLk4NBRz8UC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2015/00000250/00000006/art00056,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise15",1
2018,Hybrid Source Arrangement for Active Control of Noise Through Apertures At Oblique Incidences: A Preliminary Investigation,NA,Proceedings Paper,"B Lam, W Gan, D Shi, S Elliott",proc.,"25th Int. Congr. Sound Vib. ICSV25, Hiroshima, Japan, 1-8",1,6.08E+18,aqlVkmm33-oC,NA,NA,NA,https://www.researchgate.net/publication/329610847_Hybrid_source_arrangement_for_active_control_of_noise_through_apertures_at_oblique_incidences_a_preliminary_investigation,NA,NA,NA,NA,"Proc 25th Int Congr Sound Vib, ICSV25",1
2017,Effects of Acoustic Scattering on The Active Control of Noise Through Apertures,NA,Proceedings Paper,"B Lam, WS Gan",comsol conference,2017 (Singapore),0,NA,qUcmZB5y_30C,NA,NA,https://www.comsol.com/paper/effects-of-acoustic-scattering-on-the-active-control-of-noise-through-apertures-60363,NA,NA,NA,NA,NA,COMSOL Conf ,1
2014,Feasibility of A Length-Limited Parametric Source for Active Noise Control Applications,NA,Proceedings Paper,"B Lam, WS Gan, C Shi",proc,"21st ICSV, 6-10",15,5.52E+18,Y0pCki6q_DkC,NA,NA,NA,https://www.researchgate.net/publication/309045737_Feasibility_of_a_length-limited_parametric_source_for_active_noise_control_applications,NA,NA,NA,NA,Proc 21st Int Congr Sound Vib,1
2020,"Virtual, Augmented And Mixed Reality Tools in Soundscape Evaluation And Design",NA,Proceedings Paper,"B Lam, YX Tan, J Heng, JY Hong, ZT Ong, WS Gan","inter-noise and noise-con congress and conference proceedings, internoise",e20 …,1,7.83E+18,_Qo2XoVZTnwC,NA,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2020/00000261/00000003/art00027,https://www.researchgate.net/publication/343150785_Virtual_augmented_and_mixed_reality_tools_in_soundscape_evaluation_and_design,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",1
2017,Understanding Multiple-Input Multiple-Output Active Noise Control From a Perspective of Sampling And Reconstruction,NA,Proceedings Paper,"C Shi, H Li, D Shi, B Lam, WS Gan",asia-pacific signal and information processing association annual summit and …,,12,1.43E+19,UebtZRa9Y70C,NA,NA,NA,https://www.researchgate.net/publication/323195520_Understanding_multiple-input_multiple-output_active_noise_control_from_a_perspective_of_sampling_and_reconstruction,NA,NA,NA,NA,2017 Asia-Pacific Signal Inf Process Assoc Annu Summit Conf (APSIPA ASC),0
2016,Open Loop Active Control of Noise Through Open Windows,NA,Proceedings Paper,"C Shi, T Murao, D Shi, B Lam, WS Gan",proceedings of meetings on acoustics,29 (1),17,1.64E+19,hqOjcs7Dif8C,NA,NA,NA,NA,NA,NA,NA,NA,J Acoust Soc Am,0
2023,Real-Time Modelling of Observation Filter in The Remote Microphone Technique for An Active Noise Control Application,10.1109/ICASSP49357.2023.10095752,Proceedings Paper,"CK Lai, B Lam, D Shi, WS Gan",icassp,"2023-2023 IEEE International Conference on Acoustics, Speech and …",1,1.50E+19,u_35RYKgDlwC,NA,NA,NA,https://www.researchgate.net/publication/369449718_Real-time_modelling_of_observation_filter_in_the_Remote_Microphone_Technique_for_an_Active_Noise_Control_application,https://doi.org/10.48550/arXiv.2303.12517,NA,NA,NA,ICASSP 2023 - 2023 IEEE Int Conf Acoust Speech Signal Process,0
2022,Robust Estimation of Open Aperture Active Control Systems Using Virtual Sensing,10.3397/IN_2022_0483,Proceedings Paper,"CK Lai, JS Tey, D Shi, WS Gan",inter-noise and noise-con congress and conference proceedings,"265 (4), 3397-3407",1,2.13E+17,3s1wT3WcHBgC,NA,NA,NA,https://www.researchgate.net/publication/363658389_Robust_estimation_of_open_aperture_active_control_systems_using_virtual_sensing,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise22",0
2020,Multichannel Active Noise Control with Spatial Derivative Constraints to Enlarge the Quiet Zone,NA,Proceedings Paper,"D Shi, B Lam, S Wen, WS Gan",icassp,"2020-2020 IEEE International Conference on Acoustics, Speech and …",9,3.91E+18,HDshCWvjkbEC,NA,NA,NA,NA,NA,NA,NA,NA,ICASSP 2020 - 2020 IEEE Int Conf. Acoust Speech Signal Process,0
2019,Analysis of Multichannel Virtual Sensing Active Noise Control to Overcome Spatial Correlation And Causality Constraints,NA,Proceedings Paper,"D Shi, B Lam, W Gan",icassp,"2019-2019 IEEE International Conference on Acoustics, Speech and …",15,6.60E+18,4DMP91E08xMC,NA,NA,NA,https://www.researchgate.net/publication/332790607_Analysis_of_Multichannel_Virtual_Sensing_Active_Noise_Control_to_Overcome_Spatial_Correlation_and_Causality_Constraints,NA,NA,NA,NA,ICASSP 2019 - 2019 IEEE Int Conf Acoust Speech Signal Process,0
2019,Practical Consideration And Implementation for Avoiding Saturation of Large Amplitude Active Noise Control,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen",proceedings of the international congress on acoustics,6905-6912,6,7.97E+18,7PzlFSSx8tAC,NA,NA,NA,NA,NA,NA,NA,NA,Proc. 23rd Int Congr Acoust,0
2020,Active Noise Control Based on The Momentum Multichannel Normalized Filtered-X Least Mean Square Algorithm,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen, X Shen",inter-noise and noise-con congress and conference proceedings,"261 (6), 709-719",13,5.92E+18,bEWYMUwI8FkC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2020/00000261/00000006/art00085,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0
